Link,Fiyat,Konum,İlan no,Son Güncelleme,İlan Durumu,Konut Tipi,Konut Şekli,Oda Sayısı,Banyo Sayısı,Brüt Metrekare,Net Metrekare,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Yakıt Tipi,Tapu Durumu,Eşya Durumu,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Site İçerisinde,Cephe,Depozito,Aidat,Yetkili Ofis
https://www.hepsiemlak.com/bursa-nilufer-ucevler-kiralik/daire/155732-2,17.000 TL,Bursa Nilüfer Üçevler Mah.,155732-2,07-05-2025,Kiralık,Daire,Müstakil Ev,2 + 1,1,752 m2,702 m2,3 Katlı,1. Kat,7 Yaşında,Yerden Isıtma,Doğalgaz,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,,"Doğu, Batı",17.000 TL,,Evet
https://www.hepsiemlak.com/bursa-yildirim-baruthane-kiralik/daire/106581-875,15.000 TL,Bursa Yıldırım Baruthane Mah.,106581-875,20-05-2025,Kiralık,Daire,,2 + 1,1,902 m2,852 m2,5 Katlı,3. Kat,31 Yaşında,Kombi,,Müstakil Tapulu,Eşyalı Değil,,,Boş,,"Kuzey, Güney, Doğu, Batı",,,
https://www.hepsiemlak.com/bursa-gemlik-dr-ziya-kaya-kiralik/daire/135581-459,25.000 TL,Bursa Gemlik Dr. Ziya Kaya Mah.,135581-459,07-05-2025,Kiralık,Daire,Daire,3 + 1,2,1252 m2,1202 m2,5 Katlı,1. Kat,28 Yaşında,Merkezi,Doğalgaz,Kat İrtifakı,Eşyalı,Betonarme,İkinci El,Boş,,"Kuzey, Güney, Doğu",25.000 TL,,Evet
https://www.hepsiemlak.com/bursa-nilufer-ahmet-yesevi-kiralik/daire/46710-25374,35.000 TL,Bursa Nilüfer Ahmet Yesevi Mah.,46710-25374,26-03-2025,Kiralık,Daire,Dubleks,3 + 1,2,1352 m2,1152 m2,5 Katlı,5. Kat,1 Yaşında,Yerden Isıtma,Doğalgaz,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,,,,,Evet
https://www.hepsiemlak.com/bursa-osmangazi-intizam-kiralik/bina/46127-4183,40.000 TL,Bursa Osmangazi İntizam Mah.,46127-4183,11-04-2025,Kiralık,Bina,Müstakil Ev,6 + 3,3,2802 m2,2102 m2,3 Katlı,,10 Yaşında,Kombi,Doğalgaz,Müstakil Tapulu,Eşyalı Değil,Betonarme,İkinci El,Boş,,"Güney, Doğu",40.000 TL,50 TL,
https://www.hepsiemlak.com/bursa-nilufer-kayapa-kiralik/daire/147580-31,33.000 TL,Bursa Nilüfer Kayapa Mah.,147580-31,06-05-2025,Kiralık,Daire,Bahçe Dubleksi,4 + 1,2,2502 m2,2102 m2,4 Katlı,Bahçe Katı,3 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,,"Güney, Batı",45.000 TL,1.000 TL,Evet
https://www.hepsiemlak.com/bursa-orhangazi-muradiye-kiralik/daire/106690-250,16.000 TL,Bursa Orhangazi Muradiye Mah.,106690-250,02-05-2025,Kiralık,Daire,Daire,3 + 1,1,1202 m2,1152 m2,5 Katlı,3. Kat,15 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı Değil,,,Boş,,,,,Evet
https://www.hepsiemlak.com/bursa-osmangazi-hamitler-kiralik/daire/108347-1523,40.000 TL,Bursa Osmangazi Hamitler Mah.,108347-1523,02-05-2025,Kiralık,Daire,Çatı Dubleksi,5 + 1,4,3602 m2,3192 m2,5 Katlı,5. Kat,15 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı Değil,Betonarme,Sıfır,Boş,,Batı,40.000 TL,300 TL,Evet
https://www.hepsiemlak.com/bursa-gemlik-cumhuriyet-kiralik/daire/81590-749,35.000 TL,Bursa Gemlik Cumhuriyet Mah.,81590-749,21-05-2025,Kiralık,Daire,Daire,3 + 1,1,1502 m2,1452 m2,2 Katlı,4. Kat,24 Yaşında,Kombi,Doğalgaz,Kat İrtifakı,Eşyalı,Betonarme,İkinci El,Boş,,"Güney, Doğu",35.000 TL,,
https://www.hepsiemlak.com/bursa-nilufer-dumlupinar-kiralik/daire/0-42249918,20.000 TL,Bursa Nilüfer Dumlupınar Mah.,0-42249918,04-05-2025,Kiralık,Daire,Daire,3 + 1,1,1652 m2,1552 m2,5 Katlı,2. Kat,20 Yaşında,Kombi,Doğalgaz,Kat Mülkiyeti,Eşyalı Değil,Betonarme,İkinci El,Boş,Evet,,20.000 TL,750 TL,
